Sample,QD-source,Core,Shell,QD-diameter-nm,Emission-wavelength-nm,Surface-ligand,Ligand-chemical,Surface-charge,Surface-modification,Surface-modification-chemical,Cell-anatomical-type,Cell-identification,Cell-source-species,Cell-origin,Cell-tissue-organ-origin,Assay-type,Delivery-type,Exposure-time-hrs,QD-conc-nanoMolar,QD/cell-attomoles/cell,QD/cell-number/cell,Cd-conc-ug/mL,Cd-conc/cell-picomoles/cell,Cell-viability-percent,Cell-viability-StdDev,IC50Value,IC50-ug/ml,IC50-nMolar,IC50-ug/ml,Lowest-conc-nMolar,Lowest-conc-ug/ml,Highest-conc-nMolar,Highest-conc-ug/ml,Surface-conc-nMolar,Reference,
69,Commercial,CdSe,ZnS,9.0,655,Amphiphilic-polymer,Amphiphilic-polymer,Negative,Unmodified,Unmodified,Epithelial,HEK,Human ,Cell-line,Embryonic-kidney,MTT,Passive,48,2.0E+01,2.9E+02,1.8E+08,4.5E+00,5.9E-01,30.0,1.0,IC50,1.4E+01,1.5E+01,1.4E+01,2.0E-01,1.9E-01,2.0E+01,1.9E+01,6.8E+03,12,
70,In-house,CdSe,No-shell,4.6,600,Lipid,Oil/Sulutol-emulsion,Neutral,Unmodified,Unmodified,Epithelial,HeLa,Human ,Cell-line,Cervix,MTT,Passive,48,1.3E+03,1.3E+04,7.8E+09,1.4E+02,1.2E+01,87.9,3.0,Over50,NA,NA,NA,6.5E+02,1.2E+02,1.3E+03,2.3E+02,8.7E+04,13,
71,In-house,CdSe,No-shell,4.6,600,Lipid,Oil/EMG20-emulsion,Neutral,Unmodified,Unmodified,Epithelial,HeLa,Human ,Cell-line,Cervix,MTT,Passive,48,1.3E+03,1.3E+04,7.8E+09,1.4E+02,1.2E+01,83.1,4.0,Over50,NA,NA,NA,6.5E+02,1.2E+02,1.3E+03,2.3E+02,8.7E+04,13,
72,Commercial,CdSe,ZnS,1.9,490,PEG,PEG-Carboxy,Negative,Unmodified,Unmodified,Epithelial,Caco-2,Human ,Cell-line,Colon,MTT,Passive,24,7.5E+03,3.8E+04,2.3E+10,1.2E+01,5.3E-01,89.0,5.0,Over50,NA,NA,NA,6.0E+01,5.8E-01,7.5E+03,7.2E+01,8.5E+04,14,
73,In-house,CdSe,No-shell,2.5,NA,Other-Hydrophilic,Sodium-citrate,Negative,Unmodified,Unmodified,Epithelial,Caco-2,Human ,Cell-line,Colon,MTT,Passive,24,1.4E+03,6.8E+03,4.1E+09,2.2E+01,1.0E+00,28.0,4.0,IC50,3.1E+01,1.1E+03,3.1E+01,1.7E+02,4.8E+00,1.4E+03,3.8E+01,2.7E+04,14,
74,In-house,CdSe,No-shell,1.5,NA,Other-Hydrophilic,Sodium-citrate,Negative,Unmodified,Unmodified,Epithelial,Caco-2,Human ,Cell-line,Colon,MTT,Passive,24,6.3E+03,3.2E+04,1.9E+10,2.2E+01,1.0E+00,7.0,1.0,IC50,7.2E+00,1.2E+03,7.2E+00,7.8E+02,4.7E+00,6.3E+03,3.8E+01,4.5E+04,14,
75,In-house,CdSe,No-shell,1.4,NA,Other-Hydrophilic,Sodium-citrate,Negative,Unmodified,Unmodified,Epithelial,Caco-2,Human ,Cell-line,Colon,MTT,Passive,24,7.8E+03,3.9E+04,2.3E+10,2.2E+01,1.0E+00,5.0,1.0,Under50,NA,NA,NA,9.6E+02,4.7E+00,7.8E+03,3.8E+01,4.8E+04,14,
76,In-house,CdSe,ZnS,6.3,640,Alkylthiol,MUA,Negative,Unmodified,Unmodified,Epithelial,Vero,Monkey,Cell-line,Kidney,MTT,Passive,24,9.7E+02,3.2E+03,2.0E+09,1.9E+02,5.8E+00,75.0,2.0,Over50,NA,NA,NA,1.2E+02,5.0E+01,9.7E+02,4.0E+02,1.2E+05,15,
77,In-house,CdSe,ZnS,4.6,570,Alkylthiol,MUA,Negative,Unmodified,Unmodified,Epithelial,Vero,Monkey,Cell-line,Kidney,MTT,Passive,24,2.9E+03,9.6E+03,5.8E+09,8.1E+01,2.4E+00,41.0,2.0,IC50,3.0E+02,2.2E+03,3.0E+02,3.6E+02,5.0E+01,2.9E+03,4.0E+02,1.9E+05,15,
78,In-house,CdSe,ZnS,3.0,520,Alkylthiol,MUA,Negative,Unmodified,Unmodified,Epithelial,Vero,Monkey,Cell-line,Kidney,MTT,Passive,24,1.0E+04,3.5E+04,2.1E+10,6.4E+01,1.9E+00,34.0,1.0,IC50,3.0E+02,7.9E+03,3.0E+02,1.3E+03,5.0E+01,1.0E+04,4.0E+02,3.0E+05,15,
79,In-house,CdSe,ZnS,6.3,640,Alkylthiol,MUA,Negative,Unmodified,Unmodified,Epithelial,HeLa,Human ,Cell-line,Cervix,MTT,Passive,24,9.7E+02,3.2E+03,2.0E+09,1.9E+02,5.8E+00,30.0,1.0,IC50,2.0E+02,4.9E+02,2.0E+02,1.2E+02,5.0E+01,9.7E+02,4.0E+02,1.2E+05,15,
80,In-house,CdSe,ZnS,4.6,570,Alkylthiol,MUA,Negative,Unmodified,Unmodified,Epithelial,HeLa,Human ,Cell-line,Cervix,MTT,Passive,24,2.9E+03,9.6E+03,5.8E+09,8.1E+01,2.4E+00,32.0,1.0,IC50,1.5E+02,1.1E+03,1.5E+02,3.6E+02,5.0E+01,2.9E+03,4.0E+02,1.9E+05,15,
81,In-house,CdSe,ZnS,3.0,520,Alkylthiol,MUA,Negative,Unmodified,Unmodified,Epithelial,HeLa,Human ,Cell-line,Cervix,MTT,Passive,24,1.0E+04,3.5E+04,2.1E+10,6.4E+01,1.9E+00,24.0,1.0,IC50,1.5E+02,3.9E+03,1.5E+02,1.3E+03,5.0E+01,1.0E+04,4.0E+02,3.0E+05,15,
82,In-house,CdSe,ZnS,6.3,640,Alkylthiol,MUA,Negative,Unmodified,Unmodified,Hepatocyte,Primary-human-hepatocyte,Human ,Primary,Liver,MTT,Passive,24,9.7E+02,3.2E+03,2.0E+09,1.9E+02,5.8E+00,29.0,2.0,IC50,3.0E+02,7.3E+02,3.0E+02,1.2E+02,5.0E+01,9.7E+02,4.0E+02,1.2E+05,15,
83,In-house,CdSe,ZnS,4.6,570,Alkylthiol,MUA,Negative,Unmodified,Unmodified,Hepatocyte,Primary-human-hepatocyte,Human ,Primary,Liver,MTT,Passive,24,2.9E+03,9.6E+03,5.8E+09,8.1E+01,2.4E+00,44.0,4.0,IC50,3.0E+02,2.2E+03,3.0E+02,3.6E+02,5.0E+01,2.9E+03,4.0E+02,1.9E+05,15,
84,In-house,CdSe,ZnS,3.0,520,Alkylthiol,MUA,Negative,Unmodified,Unmodified,Hepatocyte,Primary-human-hepatocyte,Human ,Primary,Liver,MTT,Passive,24,1.0E+04,3.5E+04,2.1E+10,6.4E+01,1.9E+00,31.0,2.0,IC50,1.5E+02,3.9E+03,1.5E+02,1.3E+03,5.0E+01,1.0E+04,4.0E+02,3.0E+05,15,
85,In-house,CdSe,ZnS,6.3,640,Alkylthiol,MUA,Negative,Unmodified,Unmodified,Epithelial,Vero,Monkey,Cell-line,Kidney,MTT,Passive,12,9.7E+02,9.7E+02,5.9E+08,1.9E+02,1.7E+00,33.0,1.0,IC50,1.8E+02,4.3E+02,1.8E+02,1.2E+02,5.0E+01,9.7E+02,4.0E+02,1.2E+05,16,
86,In-house,CdSe,ZnS,4.6,570,Alkylthiol,MUA,Negative,Unmodified,Unmodified,Epithelial,Vero,Monkey,Cell-line,Kidney,MTT,Passive,12,2.9E+03,2.9E+03,1.7E+09,8.1E+01,7.2E-01,35.0,1.0,IC50,1.3E+02,9.0E+02,1.3E+02,3.6E+02,5.0E+01,2.9E+03,4.0E+02,1.9E+05,16,
87,In-house,CdSe,ZnS,3.0,520,Alkylthiol,MUA,Negative,Unmodified,Unmodified,Epithelial,Vero,Monkey,Cell-line,Kidney,MTT,Passive,12,1.0E+04,1.0E+04,6.3E+09,6.4E+01,5.7E-01,31.0,1.0,IC50,1.1E+02,2.9E+03,1.1E+02,1.3E+03,5.0E+01,1.0E+04,4.0E+02,3.0E+05,16,
88,In-house,CdSe,ZnS,3.0,NA,Alkylthiol,LipoicAcid,Negative,Antioxidant,LipoicAcid,Epithelial,HEK,Human ,Cell-line,Embryonic-kidney,MTT,Active,24,5.0E+02,5.0E+02,3.0E+08,3.1E+00,2.7E-02,5.0,NA,IC50,6.7E+00,1.8E+02,6.7E+00,1.0E+00,3.8E-02,5.0E+02,1.9E+01,1.4E+04,16,
89,In-house,CdSe,ZnS,3.0,NA,Alkylthiol,LipoicAcid/Oligocystein ,Negative,Peptide,Cysteine,Epithelial,HEK,Human ,Cell-line,Embryonic-kidney,MTT,Active,24,5.0E+02,5.0E+02,3.0E+08,3.1E+00,2.7E-02,18.0,NA,IC50,1.2E+01,3.3E+02,1.2E+01,1.0E+00,3.8E-02,5.0E+02,1.9E+01,1.4E+04,16,
90,In-house,CdSe,ZnS,3.0,NA,Alkylthiol,LipoicAcid/Oligocystein/Polyglutamate,Negative,Peptide,Oligocystein-Polyglutamate,Epithelial,HEK,Human ,Cell-line,Embryonic-kidney,MTT,Active,24,5.0E+02,5.0E+02,3.0E+08,3.1E+00,2.7E-02,18.0,NA,IC50,1.4E+01,3.8E+02,1.4E+01,1.0E+00,3.8E-02,5.0E+02,1.9E+01,1.4E+04,16,
91,In-house,CdSe,ZnS,3.0,NA,Aminoacid,PolyGlutamate,Neutral,Protein,SA,Epithelial,HEK,Human ,Cell-line,Embryonic-kidney,MTT,Active,24,5.0E+02,5.0E+02,3.0E+08,3.1E+00,2.7E-02,78.0,12.0,Over50,NA,NA,NA,1.0E+00,3.8E-02,5.0E+02,1.9E+01,1.4E+04,16,
92,In-house,CdSe,ZnS,2.6,520,Alkylthiol,MUA,Negative,Unmodified,Unmodified,Epithelial,Vero,Monkey,Cell-line,Kidney,MTT,Passive,4,4.0E+03,8.0E+03,4.8E+09,2.5E+01,4.4E-01,63.0,2.0,Over50,NA,NA,NA,5.0E+02,1.3E+01,4.0E+03,1.0E+02,8.5E+04,17,
93,In-house,CdSe,ZnS,2.6,520,Alkylthiol,TG/MUA,Negative,Unmodified,Unmodified,Epithelial,Vero,Monkey,Cell-line,Kidney,MTT,Passive,4,4.0E+03,8.0E+03,4.8E+09,2.5E+01,4.4E-01,67.0,NA,Over50,NA,NA,NA,5.0E+02,1.3E+01,4.0E+03,1.0E+02,8.5E+04,17,
94,In-house,CdSe,ZnS,2.6,520,Alkylthiol,TGA,Negative,Unmodified,Unmodified,Epithelial,Vero,Monkey,Cell-line,Kidney,MTT,Passive,4,4.0E+03,8.0E+03,4.8E+09,2.5E+01,4.4E-01,112.0,NA,Over50,NA,NA,NA,5.0E+02,1.3E+01,4.0E+03,1.0E+02,8.5E+04,17,
95,In-house,CdSe,ZnS,4.5,600,Alkylthiol,MAA,Negative,Unmodified,Unmodified,Hepatocyte,Hepatocyte,Rat,Primary,Liver,MTT,Passive,24,7.0E+03,2.9E+03,1.7E+09,3.4E+02,1.3E+00,93.0,2.0,Over50,NA,NA,NA,4.4E+02,6.3E+01,7.0E+03,1.0E+03,4.5E+05,18,
96,In-house,CdSe,ZnS,4.5,600,Alkylthiol,MAA-BSA,Neutral,Protein,BSA,Hepatocyte,Hepatocyte,Rat,Primary,Liver,MTT,Active,24,7.0E+03,2.9E+03,1.7E+09,3.4E+02,1.3E+00,100.0,4.0,Over50,NA,NA,NA,4.4E+02,6.3E+01,7.0E+03,1.0E+03,4.5E+05,18,
97,In-house,CdSe,No-shell,3.6,582,Alkylthiol,MAA,Negative,Unmodified,Unmodified,Hepatocyte,Hepatocyte,Rat,Primary,Liver,MTT,Passive,24,1.2E+04,5.0E+03,3.0E+09,5.9E+02,2.2E+00,13.0,3.0,IC50,5.7E+02,6.8E+03,5.7E+02,7.5E+02,6.3E+01,1.2E+04,1.0E+03,4.9E+05,18,
98,Commercial,CdSe,ZnS,6.7,620,Amphiphilic-polymer,PMAT,Negative,Unmodified,Unmodified,Epithelial,HepG2,Human ,Cell-line,Liver,MTT,Passive,24,4.0E+01,1.7E+01,1.0E+07,3.8E+00,1.4E-02,110.0,3.0,Over50,NA,NA,NA,2.5E+00,1.1E+00,4.0E+01,1.7E+01,5.6E+03,19,
99,Commercial,CdSe,ZnS,6.7,620,Amphiphilic-polymer,PMAT,Negative,Unmodified,Unmodified,Hepatocyte,Primary-human-hepatocyte,Human ,Primary,Liver,MTT,Passive,24,4.0E+01,1.7E+01,1.0E+07,3.8E+00,1.4E-02,79.0,6.0,Over50,NA,NA,NA,2.5E+00,1.1E+00,4.0E+01,1.7E+01,5.6E+03,19,
100,In-house,CdSe,ZnS,5.4,608,Alkylthiol,TGA-Tf,Neutral,Protein,Transferrin,Epithelial,HeLa,Human ,Cell-line,Cervix,MTT,Active,2,3.2E+03,3.2E+05,1.9E+11,2.7E+02,2.4E+02,93.0,1.0,Over50,NA,NA,NA,1.0E+02,2.4E+01,3.2E+03,7.8E+02,2.9E+05,20,
101,In-house,CdSe,ZnS,5.4,608,Alkylthiol,TGA-Tf,Neutral,Protein,Transferrin,Epithelial,HeLa,Human ,Cell-line,Cervix,MTT,Active,12,3.2E+03,3.2E+05,1.9E+11,2.7E+02,2.4E+02,93.0,1.0,Over50,NA,NA,NA,1.0E+02,2.4E+01,3.2E+03,7.8E+02,2.9E+05,20,
102,In-house,CdSe,ZnS,5.4,608,Alkylthiol,TGA-Tf,Neutral,Protein,Transferrin,Epithelial,HeLa,Human ,Cell-line,Cervix,MTT,Active,24,3.2E+03,3.2E+05,1.9E+11,2.7E+02,2.4E+02,88.0,1.0,Over50,NA,NA,NA,1.0E+02,2.4E+01,3.2E+03,7.8E+02,2.9E+05,20,
103,In-house,CdSe,ZnS,5.4,608,Alkylthiol,TGA-Tf,Neutral,Protein,Transferrin,Epithelial,HeLa,Human ,Cell-line,Cervix,MTT,Active,48,3.2E+03,3.2E+05,1.9E+11,2.7E+02,2.4E+02,91.0,2.0,Over50,NA,NA,NA,1.0E+02,2.4E+01,3.2E+03,7.8E+02,2.9E+05,20,
104,In-house,CdSe,ZnS,5.4,608,Alkylthiol,TGA-Tf,Neutral,Protein,Transferrin,Epithelial,HeLa,Human ,Cell-line,Cervix,MTT,Active,72,3.2E+03,3.2E+05,1.9E+11,2.7E+02,2.4E+02,87.0,1.0,Over50,NA,NA,NA,1.0E+02,2.4E+01,3.2E+03,7.8E+02,2.9E+05,20,
105,In-house,CdSe,ZnS,5.4,608,Alkylthiol,TGA,Negative,Unmodified,Unmodified,Epithelial,HeLa,Human ,Cell-line,Cervix,MTT,Passive,2,3.2E+03,3.2E+05,1.9E+11,2.7E+02,2.4E+02,74.0,5.0,Over50,NA,NA,NA,1.0E+02,2.4E+01,3.2E+03,7.8E+02,2.9E+05,20,
106,In-house,CdSe,ZnS,5.4,608,Alkylthiol,TGA,Negative,Unmodified,Unmodified,Epithelial,HeLa,Human ,Cell-line,Cervix,MTT,Passive,12,3.2E+03,3.2E+05,1.9E+11,2.7E+02,2.4E+02,68.0,4.0,Over50,NA,NA,NA,1.0E+02,2.4E+01,3.2E+03,7.8E+02,2.9E+05,20,
107,In-house,CdSe,ZnS,5.4,608,Alkylthiol,TGA,Negative,Unmodified,Unmodified,Epithelial,HeLa,Human ,Cell-line,Cervix,MTT,Passive,24,3.2E+03,3.2E+05,1.9E+11,2.7E+02,2.4E+02,75.0,5.0,Over50,NA,NA,NA,1.0E+02,2.4E+01,3.2E+03,7.8E+02,2.9E+05,20,
108,In-house,CdSe,ZnS,5.4,608,Alkylthiol,TGA,Negative,Unmodified,Unmodified,Epithelial,HeLa,Human ,Cell-line,Cervix,MTT,Passive,48,3.2E+03,3.2E+05,1.9E+11,2.7E+02,2.4E+02,65.0,4.0,Over50,NA,NA,NA,1.0E+02,2.4E+01,3.2E+03,7.8E+02,2.9E+05,20,
109,In-house,CdSe,ZnS,5.4,608,Alkylthiol,TGA,Negative,Unmodified,Unmodified,Epithelial,HeLa,Human ,Cell-line,Cervix,MTT,Passive,72,3.2E+03,3.2E+05,1.9E+11,2.7E+02,2.4E+02,59.0,3.0,Over50,NA,NA,NA,1.0E+02,2.4E+01,3.2E+03,7.8E+02,2.9E+05,20,
110,In-house,CdSe,ZnS,5.4,608,Alkylthiol,TGA-dTf,Neutral,Protein,D-Transferrin,Epithelial,HeLa,Human ,Cell-line,Cervix,MTT,Active,2,3.2E+03,3.2E+05,1.9E+11,2.7E+02,2.4E+02,96.0,1.0,Over50,NA,NA,NA,1.0E+02,2.4E+01,3.2E+03,7.8E+02,2.9E+05,20,
111,In-house,CdSe,ZnS,5.4,608,Alkylthiol,TGA-dTf,Neutral,Protein,D-Transferrin,Epithelial,HeLa,Human ,Cell-line,Cervix,MTT,Active,12,3.2E+03,3.2E+05,1.9E+11,2.7E+02,2.4E+02,97.0,2.0,Over50,NA,NA,NA,1.0E+02,2.4E+01,3.2E+03,7.8E+02,2.9E+05,20,
112,In-house,CdSe,ZnS,5.4,608,Alkylthiol,TGA-dTf,Neutral,Protein,D-Transferrin,Epithelial,HeLa,Human ,Cell-line,Cervix,MTT,Active,24,3.2E+03,3.2E+05,1.9E+11,2.7E+02,2.4E+02,93.0,1.0,Over50,NA,NA,NA,1.0E+02,2.4E+01,3.2E+03,7.8E+02,2.9E+05,20,
113,In-house,CdSe,ZnS,5.4,608,Alkylthiol,TGA-dTf,Neutral,Protein,D-Transferrin,Epithelial,HeLa,Human ,Cell-line,Cervix,MTT,Active,48,3.2E+03,3.2E+05,1.9E+11,2.7E+02,2.4E+02,94.0,2.0,Over50,NA,NA,NA,1.0E+02,2.4E+01,3.2E+03,7.8E+02,2.9E+05,20,
114,In-house,CdSe,ZnS,5.4,608,Alkylthiol,TGA-dTf,Neutral,Protein,D-Transferrin,Epithelial,HeLa,Human ,Cell-line,Cervix,MTT,Active,72,3.2E+03,3.2E+05,1.9E+11,2.7E+02,2.4E+02,93.0,2.0,Over50,NA,NA,NA,1.0E+02,2.4E+01,3.2E+03,7.8E+02,2.9E+05,20,
115,In-house,CdSe,ZnS,4.4,550,Silica,APTES-SA-Peptide,Positive,Protein,Protein-Peptide,Epithelial,HeLa,Human ,Cell-line,Cervix,Colonigenic-assay,Active,240,1.0E+02,1.0E+02,6.0E+07,3.1E+00,2.8E-02,93.0,8.0,Over50,NA,NA,NA,1.0E+00,1.3E-01,1.0E+02,1.3E+01,6.1E+03,21,
116,In-house,CdSe,ZnS,2.6,520,Other-Hydrophilic,SSA,Neutral,Protein,SSA,Lymphoblast,EL-4,Mouse,Cell-line,Blood,Colonigenic-assay,Active,24,1.6E+04,1.6E+04,9.6E+09,7.6E+01,6.7E-01,1.0,NA,NA,NA,NA,NA,4.0E+03,1.0E+02,1.6E+04,4.0E+02,3.4E+05,22,
117,In-house,CdSe,CdS,7.5,620,Amphiphilic-polymer,PMAO,Negative,Unmodified,Unmodified,Epithelial,SK-BR-3,Human ,Cell-line,Breast,Live/dead-staining,Passive,4,1.5E+02,1.3E+03,8.0E+08,7.3E+01,5.8E+00,1.0,19.0,IC50,4.6E+01,7.0E+01,4.6E+01,1.0E+01,6.6E+00,1.5E+02,1.0E+02,3.8E+04,23,
118,In-house,CdSe,CdS,7.5,620,PEG,PMAO-PEG750,Neutral,Unmodified,Unmodified,Epithelial,SK-BR-3,Human ,Cell-line,Breast,Live/dead-staining,Passive,4,1.5E+02,1.3E+03,8.0E+08,7.3E+01,5.8E+00,70.0,3.0,Over50,NA,NA,NA,1.0E+01,6.6E+00,1.5E+02,1.0E+02,3.8E+04,23,
119,In-house,CdSe,CdS,7.5,620,PEG,PMAO-PEG6000,Neutral,Unmodified,Unmodified,Epithelial,SK-BR-3,Human ,Cell-line,Breast,Live/dead-staining,Passive,4,1.5E+02,1.3E+03,8.0E+08,7.3E+01,5.8E+00,80.0,3.0,Over50,NA,NA,NA,1.0E+01,6.6E+00,1.5E+02,1.0E+02,3.8E+04,23,
120,In-house,CdSe,ZnS,5.0,NA,Silica,APTES-PEG,Neutral,Unmodified,Unmodified,Fibroblast,IMR,Human ,Cell-line,Lung,Others,Passive,48,8.0E+01,3.2E+03,1.9E+09,2.3E+00,8.1E-01,97.0,8.0,Over50,NA,NA,NA,8.0E+00,1.4E+00,8.0E+01,1.4E+01,6.3E+03,24,
121,In-house,CdSe,ZnS,5.0,NA,Silica,APTES-PEG,Neutral,Unmodified,Unmodified,Fibroblast,HSF-42,Human ,Cell-line,Skin,Others,Passive,48,8.0E+01,3.2E+03,1.9E+09,2.3E+00,8.1E-01,92.0,7.0,Over50,NA,NA,NA,8.0E+00,1.4E+00,8.0E+01,1.4E+01,6.3E+03,24,
122,Commercial,CdSe,ZnS,2.1,520,Alkylthiol,MP,Negative,Unmodified,Unmodified,Epithelial,A549,Human ,Cell-line,Lung,SRB,Passive,24,2.0E+02,4.0E+02,2.4E+08,1.2E+00,2.1E-02,84.0,4.0,Over50,NA,NA,NA,1.3E+01,1.8E-01,2.0E+02,3.0E+00,2.8E+03,25,
123,Commercial,CdSe,ZnS,2.1,520,Alkylthiol,MP-R9,Positive,Delivery-Peptide,R9,Epithelial,A549,Human ,Cell-line,Lung,SRB,Active,24,2.0E+02,4.0E+02,2.4E+08,1.2E+00,2.1E-02,81.0,6.0,Over50,NA,NA,NA,1.3E+01,1.8E-01,2.0E+02,3.0E+00,2.8E+03,25,
124,In-house,CdSe,ZnS,4.8,600,Aminothiol,CYST,Positive,Unmodified,Unmodified,Epithelial,CHO,Hamster,Cell-line,Ovary,XTT,Passive,24,8.7E+02,8.7E+03,5.2E+09,5.4E+01,4.8E+00,92.0,5.0,Over50,NA,NA,NA,1.7E+02,3.0E+01,8.7E+02,1.5E+02,6.3E+04,26,
125,In-house,CdSe,ZnS,4.8,610,Polyol,GlucoicAcid,Negative,Unmodified,Unmodified,Epithelial,CHO,Hamster,Cell-line,Ovary,XTT,Passive,24,8.7E+02,8.7E+03,5.2E+09,5.4E+01,4.8E+00,85.0,4.0,Over50,NA,NA,NA,1.7E+02,3.0E+01,8.7E+02,1.5E+02,6.3E+04,26,
126,In-house,CdSe,ZnS,4.8,610,Polyol,GlucoicAcid,Negative,Unmodified,Unmodified,Epithelial,CHO,Hamster,Cell-line,Ovary,XTT,Passive,24,8.7E+02,8.7E+03,5.2E+09,5.4E+01,4.8E+00,85.0,6.0,Over50,NA,NA,NA,1.7E+02,3.0E+01,8.7E+02,1.5E+02,6.3E+04,26,
127,In-house,CdSe,ZnS,4.8,610,Polyol,GlucoicAcid,Negative,Unmodified,Unmodified,Epithelial,CHO,Hamster,Cell-line,Ovary,XTT,Passive,24,8.7E+02,8.7E+03,5.2E+09,5.4E+01,4.8E+00,76.0,6.0,Over50,NA,NA,NA,1.7E+02,3.0E+01,8.7E+02,1.5E+02,6.3E+04,26,
128,In-house,CdSe,ZnS,3.9,577,Alkylthiol,MPA,Negative,Unmodified,Unmodified,Fibroblast,BALB/3T3,Mouse,Cell-line,Embryo,Live/dead-staining,Passive,24,1.0E+00,2.5E+01,1.5E+07,3.6E-02,8.0E-03,95.0,5.0,NA,NA,NA,NA,NA,NA,1.0E+00,9.1E-02,4.7E+01,27,
129,In-house,CdSe,ZnS,3.9,577,Other-Hydrophobic,TOPO-GA,Neutral,Protein,Gum-Arabic,Fibroblast,BALB/3T3,Mouse,Cell-line,Embryo,Live/dead-staining,Active,24,7.5E-01,1.9E+01,1.1E+07,2.7E-02,5.9E-03,1.0,1.0,IC50,2.8E-02,3.1E-01,2.8E-02,3.7E-01,3.4E-02,7.5E-01,6.8E-02,3.5E+01,27,
130,In-house,CdSe,ZnS,4.5,575,Silica,APTES-PEG,Neutral,Unmodified,Unmodified,Lymphoblast,Jurkat,Human ,Cell-line,Blood,Live/dead-staining,Passive,24,5.0E+02,1.0E+03,6.0E+08,1.7E+01,3.1E-01,98.0,7.0,Over50,NA,NA,NA,1.0E+01,1.3E+00,5.0E+02,6.7E+01,3.2E+04,28,
131,In-house,CdSe,ZnS,4.5,575,Silica,APTES-PEG,Neutral,Unmodified,Unmodified,Leukocyte,K562,Human ,Cell-line,Blood,Live/dead-staining,Passive,24,5.0E+02,1.0E+03,6.0E+08,1.7E+01,3.1E-01,98.0,7.0,Over50,NA,NA,NA,1.0E+01,1.3E+00,5.0E+02,6.7E+01,3.2E+04,28,
132,In-house,CdSe,ZnS,4.5,575,Silica,APTES-PEG,Neutral,Unmodified,Unmodified,Epithelial,A549,Human ,Cell-line,Lung,Live/dead-staining,Passive,24,5.0E+02,1.0E+03,6.0E+08,1.7E+01,3.1E-01,96.0,10.0,Over50,NA,NA,NA,1.0E+01,1.3E+00,5.0E+02,6.7E+01,3.2E+04,28,
133,In-house,CdSe,ZnS,4.5,575,Silica,APTES-PEG,Neutral,Unmodified,Unmodified,Epithelial,HeLa,Human ,Cell-line,Cervix,Live/dead-staining,Passive,24,5.0E+02,1.0E+03,6.0E+08,1.7E+01,3.1E-01,96.0,8.0,Over50,NA,NA,NA,1.0E+01,1.3E+00,5.0E+02,6.7E+01,3.2E+04,28,
134,In-house,CdSe,ZnS,4.5,575,Aminopolymer,PAMAM-C12,Positive,Unmodified,Unmodified,Lymphoblast,Jurkat,Human ,Cell-line,Blood,Live/dead-staining,Passive,24,5.0E+02,1.0E+03,6.0E+08,1.7E+01,3.1E-01,21.0,4.0,IC50,2.1E+01,1.6E+02,2.1E+01,1.0E+01,1.3E+00,5.0E+02,6.7E+01,3.2E+04,28,
135,In-house,CdSe,ZnS,4.5,575,Aminopolymer,PAMAM-C12,Positive,Unmodified,Unmodified,Leukocyte,K562,Human ,Cell-line,Blood,Live/dead-staining,Passive,24,5.0E+02,1.0E+03,6.0E+08,1.7E+01,3.1E-01,16.0,3.0,IC50,2.3E+01,1.7E+02,2.3E+01,1.0E+01,1.3E+00,5.0E+02,6.7E+01,3.2E+04,28,
136,In-house,CdSe,ZnS,4.5,575,Aminopolymer,PAMAM-C12,Positive,Unmodified,Unmodified,Epithelial,A549,Human ,Cell-line,Lung,Live/dead-staining,Passive,24,5.0E+02,1.0E+03,6.0E+08,1.7E+01,3.1E-01,28.0,5.0,IC50,2.3E+01,1.8E+02,2.3E+01,1.0E+01,1.3E+00,5.0E+02,6.7E+01,3.2E+04,28,
137,In-house,CdSe,ZnS,4.5,575,Aminopolymer,PAMAM-C12,Positive,Unmodified,Unmodified,Epithelial,HeLa,Human ,Cell-line,Cervix,Live/dead-staining,Passive,24,5.0E+02,1.0E+03,6.0E+08,1.7E+01,3.1E-01,20.0,4.0,IC50,2.2E+01,1.6E+02,2.2E+01,1.0E+01,1.3E+00,5.0E+02,6.7E+01,3.2E+04,28,
138,In-house,CdSe,ZnS,4.5,575,Silica,APTES,Positive,Unmodified,Unmodified,Lymphoblast,Jurkat,Human ,Cell-line,Blood,FACS,Passive,48,5.0E+03,1.0E+04,6.0E+09,1.7E+02,3.1E+00,98.0,11.0,Over50,NA,NA,NA,3.0E+02,4.0E+01,5.0E+03,6.7E+02,3.2E+05,29,
139,In-house,CdSe,ZnS,4.5,575,Silica,APTES,Positive,Unmodified,Unmodified,Leukocyte,K562,Human ,Cell-line,Blood,FACS,Passive,48,5.0E+03,1.0E+04,6.0E+09,1.7E+02,3.1E+00,97.0,8.0,Over50,NA,NA,NA,3.0E+02,4.0E+01,5.0E+03,6.7E+02,3.2E+05,29,
140,In-house,CdSe,ZnS,4.5,575,Silica,APTES,Positive,Unmodified,Unmodified,Lymphoblast,Jurkat,Human ,Cell-line,Blood,FACS,Passive,48,5.0E+03,1.0E+04,6.0E+09,1.7E+02,3.1E+00,100.0,11.0,Over50,NA,NA,NA,3.0E+02,4.0E+01,5.0E+03,6.7E+02,3.2E+05,29,
